,cX,cY,topoSig
89,13,20,11111111110000000000000000100000000000000000000000001111000000000000000000000000011111111110000000000000000011111111100000000000000000000011111000000000000000000011111000000000000000000000011111100000000000000011111111110000000000000000000111100000000000000000
90,8,14,0000000011110000000000001110000000000000000111110000000000111101000000001111111100000000111110000000000010000000
91,9,14,011000000000000000111110000000000000111100000000000000000011111000000000001111101000000000111111111000000000111111000000000000
92,10,16,0000000000111000000000000000001100000000000000000000111111110000000000011110111100000000001111111100000000000000000001110000000000111100000000000000000000000001
93,10,16,1100000000000000000011110000000000000000111000000000000000000001111111000000000001111101110000000000111111111000000000000000000011000000000011111000000000000000
94,11,18,000000000000000111111100000000000000111111110000000000000000001111000000000001100000000000000000000111111000000000000000000000111111000000000001000000001100000000000000000000010000000000011111111000
95,14,16,11101111111111000000000000001111111111011100000000000000111111101111110000000000000000000111111111000000000000001011110000000100000000000000000000000000110000000000000011111111111111000000000000001111111110000000000000000000
96,15,20,000000000000000111111110000000000000000000000000000000111111000000000000000111111111111100000000000000000111111100000000000000000000000000001111100000000000000000000110000000000000000000000000000000000111111111000000000000000011111111111111000000000000000111111111111110000000000000000111011111110111
97,12,20,000000000111000000000000111111000000000000000000000000011111000000000000111111111100000000000000111110000000000000000000000111110000000000000000110000000000000000000000000011111111000000000000011111111111000000000000111111111110000000000000
98,18,20,000000000000000000111111100000001111000000000000000000000000001111111111000000000000000000111111111111000001000000000000000000111111000000000000000000000000000000000011111000000000000000000000000000100000000000000000000000000000000000000001111111111000000000000000000000111111111111111100000000000000000000111111111111100000000000000000000000110111111101111111
99,15,20,000000001111111000000000000000111110000001111000000000000000000000111111111000000000000000111111111000001000000000000000111100000000000000000000000000001111100000000000000000000000100000000000000000000000000000000111111111000000000000000000111111111111100000000000000000111111111100000000000000000000
100,10,15,000000000001111111000000000000111111111000000000001111001111000000000011111111110000000000000000011100000000000000011111000000000011011111110000000000
101,11,16,00000000011000000000000111111100000000000000111111111100000000000011110011111000000000001111111111100000000000000000011110000000000000000111111000000000001101111111100000000000
102,11,16,00000000000111111111000000000000000000001111000000000000001111111100000000000011111000000000000000000001111111000000000001100000000000000000000111111110000000000000000000111110
103,11,16,00011111110000000000001111111110000000000000000000011110000000000000001111111000000000000111110000000000000000000001111110000000000011000000000000000000001111111100000000000000
104,7,19,0000000111111100000001111000000000011111110000000101111100000001110000000000000000010000000111110000000001111111000000011111110000000
105,13,18,000000000000000000000000110000000000000001111000000000000000000001111000110000000000000000011111000000000000000000000000000001111000000000000000001111111111000000000000010000000000000000000000000000000000001100000000000001110000000111
106,9,15,000000000100000001000000000111111111000000000111000000000000000111111100000000000000000111000000000110000000000000000111101111000000000
107,9,15,000000000100000001000000000111111111000000000111000000000000000111111100000000000000000111000000000110000000000000000111101111000000000
108,10,16,0000000000000111111100000000001111000000000000000001111111110000000000110000000000000000001111100001000000000011111111000000000000111111000000000000000000000111
109,15,18,100011111111110000000000000000000000000000111000000000000000000111110000000000000000000000111111000110000000000000000000111111100000000000000000000000000000000011100000000000000000000001111111111000000000000000110000000000000000000000000000000000000000111000000000000000
110,14,18,000000000000001111111111000100000000000000000000000000110000000000000011111111000000000000000000001111110000000000000000000000000111111111110000000000000000000111111000000000000000001100000000000000000000000000000011111111110000000000000001111110011111
111,12,18,111000000000000000000000111111110001000000000000000000000011000000000000111111100000000000000000111111000000000000000000001111111111000000000000000001111000000000000000100000000000000000000000000011111111000000000000
112,12,17,000000000000000000001111000000000000111111111111000000000000011111111111000000000000001111111101000000000000000000000111000000000000111001111111000000000000000011111111000000000000111111011111000000000000
113,13,18,000000000011100000000000000000000011111000000000000011111111111110000000000000011111111111100000000000000011111111101000000000000000000000011110000000000000111001111111100000000000000000111111111000000000000011111101111110000000000000
114,13,20,00000000000001000000000000000000000000000000000000010000000000000000000011100000000000000001111000000000000000000000000000000111110000000000000000111111000000000000000001111111111111000000000000000000111111110000000000000001111111110000000000000001111110000000
115,7,20,11111110000000111111100000001111000000000011111110000000101111100000001110000000000000000010000000111110000000001111111000000011111110000000
116,12,20,000000000000111111111111000000000000011111111110000000000000000000001111000000000000111100000000000000000000111111011000000000000000110000000000000000000000000111111111000000000000111111111111000000000000111110000000000000000000000000000011
117,13,20,11111111011110000000000000111111111111100000000000000111111111110000000000000000000000001110000000000000111100000000000000000000001111110111100000000000000011000000000000000000000000000111111111100000000000001111111111111000000000000011111000000000000000000000
118,13,18,000000000000011111000000000000000000000111111100000000000000000000101111111111000000000000000001111111110000000000000000000111111100000000000001111111111000000000000000011111111111010000000000000111111110000000000000000000000000001111
119,12,18,111111111111000000000000111110000000000000000000111111100000000000000000010111111111000000000000000011111111000000000000000000111111000000000000111111111000000000000000111111111101000000000000111111110000000000000000
120,12,14,000000000000110111111111000000000000111111110111000000000000111111011111000000000000000011111111000000000000011110000001000000000000000000000011000000000000111111111111
121,14,14,1100000000011100000000000000111011111111110000000000000011111111101111000000000000001111111011111100000000000000000001111111110000000000000001111100000001000000000000000000000000001100000000000000
122,13,16,0000000000000111111111011100000000000001111110111111000000000000000011111111110000000000000101100000000100000000000000000000000011000000000000011111111111110000000000000111111110000000000000000000000011111111
123,12,18,111111111000000000000000111111111110000000000000000000000111000000000000111110000000000000000000000011111111000000000000111111100011000000000000111111110000000000000000110111000000000000000000011111111111000000000000
124,11,16,00000000000000000111110000000000011111111111000000000000111111111100000000000111110000000000000000011110000000000000000001100000011100000000000000000011110000000000011100000010
125,10,16,0011111110000000000000000011110000000000111111111100000000000111111111000000000011111000000000000000111100000000000000001110000011000000000000000001110000000000
126,14,18,000000000000001000001111111100000000000000111100000000000000000000000011111000001111000000000000000000000011111000000000000000110000000000000000000000000011111110000111000000000000001111111110000000000000000000111111111111110000000000000011100000000011
127,13,18,000000000111100000000000001000011111111000000000000011100000000000000000000000111100000011100000000000000000000111110000000000000011000000000000000000000000111111000001100000000000001111111100000000000000000011111111111110000000000000
128,11,18,000000000001100000000000000000000000000000010000000000011110000000000000000000000000111100000000000011111110110000000000000011111111000000000001111111111100000000000111110000000000000000011111100000
129,10,18,111111111100000000001100000000000000000000000000010000000000111100000000000000000000001111000000000001111110110000000000000111111100000000001111111111000000000011111000000000000000
130,8,13,00000000111111110000000011000000000000000000011100000000111000000000000011111110000000000111001100000000
131,10,14,00111100000000000000111111111100000000001110000000000000000000000001110000000000111100000000000000001111111110000000000001111000110000000000
132,13,18,000000000000011111111111100000000000000000000000011100000000000001111100000000000000000000000001111111110000000000000111111100001100000000000001111111100000000000000000011011100000000000000000000011111111111100000000000001111111110000
133,15,18,110000000000000000000000000000000011111100000000000000000000111111111111100000000000000000111111110000001000000000000000000111111111000000000000000000100000000111111000000000000000111111100000000000000000000000000001111110000000000000000000111111000000000000000000000000
134,10,16,0000000000111111111100000000000111111111000000000000000111110000000000000000111100000000000000000011000000000011111111100000000000001111100000000000001110111111
